,0,1,2,type
0,"Robert Downey, Jr.",,Tony Stark/Iron Man,Lead Ensemble Members
1,Chris Evans,,Steve Rogers/Captain America,Lead Ensemble Members
2,Mark Ruffalo,,Bruce Banner/Hulk,Lead Ensemble Members
3,Chris Hemsworth,,Thor,Lead Ensemble Members
4,Scarlett Johansson,,Natasha Romanoff/Black Widow,Lead Ensemble Members
5,Jeremy Renner,,Clint Barton/Hawkeye,Lead Ensemble Members
6,Don Cheadle,,James “Rhodey” Rhodes/War Machine,Lead Ensemble Members
7,Paul Rudd,,Scott Lang/Ant-Man,Lead Ensemble Members
8,Brie Larson,,Carol Danvers/Captain Marvel,Lead Ensemble Members
9,Karen Gillan,,Nebula,Lead Ensemble Members
10,Danai Gurira,,Okoye,Lead Ensemble Members
11,Bradley Cooper,,Rocket,Lead Ensemble Members
12,Josh Brolin,,Thanos,Lead Ensemble Members
13,Benedict Wong,,Wong,Lead Ensemble Members
14,Jon Favreau,,Happy Hogan,Lead Ensemble Members
15,Gwyneth Paltrow,,Pepper Potts,Lead Ensemble Members
16,Evangeline Lilly,,Hope van Dyne/The Wasp,Lead Ensemble Members
17,Benedict Cumberbatch,,Dr. Stephen Strange,Lead Ensemble Members
18,Tom Holland,,Peter Parker/Spider-Man,Lead Ensemble Members
19,Chris Pratt,,Peter Quill/Star-Lord,Lead Ensemble Members
20,Dave Bautista,,Drax the Destroyer,Lead Ensemble Members
21,Sebastian Stan,,Bucky Barnes/Winter Soldier,Lead Ensemble Members
22,Terry Notary,,Groot,Lead Ensemble Members
23,Anthony Mackie,,Sam Wilson/Falcon,Lead Ensemble Members
24,Tom Hiddleston,,Loki,Lead Ensemble Members
25,Letitia Wright,,Shuri,Lead Ensemble Members
26,Samuel L. Jackson,,Nick Fury,Lead Ensemble Members
27,Pom Klementieff,,Mantis,Lead Ensemble Members
28,Paul Bettany,,Vision,Lead Ensemble Members
29,Elizabeth Olsen,,Wanda Maximoff/Scarlet Witch,Lead Ensemble Members
30,Zoe Saldana,,Gamora,Lead Ensemble Members
31,Chadwick Boseman,,T’Challa/Black Panther,Lead Ensemble Members
0,Katherine Langford,,,Supporting Cast
1,Frank Grillo,,Brock Rumlow,Supporting Cast
2,Hiroyuki Sanada,,,Supporting Cast
3,Tessa Thompson,,Valkyrie,Supporting Cast
4,Rene Russo,,Frigga,Supporting Cast
5,John Slattery,,Howard Stark,Supporting Cast
6,Tilda Swinton,,Ancient One,Supporting Cast
7,Hayley Atwell,,Peggy Carter,Supporting Cast
8,Marisa Tomei,,May Parker,Supporting Cast
9,Taika Waititi,,Korg,Supporting Cast
10,Maximiliano Hernández,,Jasper Sitwell,Supporting Cast
11,Callan Mulvey,,Jack Rollins,Supporting Cast
12,Jacob Batalon,,Ned,Supporting Cast
13,Robert Redford,,Alexander Pierce,Supporting Cast
14,Ty Simpkins,,Harley Keener,Supporting Cast
15,Winston Duke,,M’Baku,Supporting Cast
16,Angela Bassett,,Ramonda,Supporting Cast
17,William Hurt,,Thaddeus Ross,Supporting Cast
18,Ross Marquand,,Red Skull,Supporting Cast
19,Kerry Condon,,F.R.I.D.A.Y.,Supporting Cast
20,James D'Arcy,,Edwin Jarvis,Supporting Cast
21,Emma Fuhrmann,,Cassie Lang (Older),Supporting Cast
22,Lexi Rabe,,Morgan Stark,Supporting Cast
23,Ava Russo,,Lila,Supporting Cast
24,Lia Russo,,Lila,Supporting Cast
0,Stan Lee,,Himself,Cameos
1,Ken Jeong,,S.H.I.E.L.D. Agent,Cameos
2,Yvette Nicole Brown,,S.H.I.E.L.D. Agent,Cameos
3,Joe Russo,,Grieving Man,Cameos
4,Jim Starlin,,Grieving Man,Cameos
0,Natalie Portman,,Jane Foster,
0,Joe Russo,,Director,Production and Technical Credits
1,Anthony Russo,,Director,Production and Technical Credits
2,Christopher Markus,,Screenwriter,Production and Technical Credits
3,Stephen McFeely,,Screenwriter,Production and Technical Credits
4,Stan Lee,,Story by,Production and Technical Credits
5,Jack Kirby,,Story by,Production and Technical Credits
6,Kevin Feige,,Producer,Production and Technical Credits
7,Louis D’Esposito,,Executive Producer,Production and Technical Credits
8,Victoria Alonso,,Executive Producer,Production and Technical Credits
9,Michael Grillo,,Executive Producer,Production and Technical Credits
10,Jon Favreau,,Executive Producer,Production and Technical Credits
11,James Gunn,,Executive Producer,Production and Technical Credits
12,Stan Lee,,Executive Producer,Production and Technical Credits
13,Trinh Tran,,Executive Producer,Production and Technical Credits
14,Mitch Bell,,Co-Producer,Production and Technical Credits
15,Christopher Markus,,Co-Producer,Production and Technical Credits
16,Stephen McFeely,,Co-Producer,Production and Technical Credits
17,Trent Opaloch,,Director of Photography,Production and Technical Credits
18,Charles Wood,,Production Designer,Production and Technical Credits
19,Jeffrey Ford,,Editor,Production and Technical Credits
