,0,1,2,type
0,"Robert Downey, Jr.",,Tony Stark/Iron Man,Lead Ensemble Members
1,Chris Hemsworth,,Thor,Lead Ensemble Members
2,Mark Ruffalo,,Bruce Banner/Hulk,Lead Ensemble Members
3,Chris Evans,,Steve Rogers,Lead Ensemble Members
4,Scarlett Johansson,,Natasha Romanoff/Black Widow,Lead Ensemble Members
5,Benedict Cumberbatch,,Stephen Strange,Lead Ensemble Members
6,Don Cheadle,,James Rhodes / War Machine,Lead Ensemble Members
7,Tom Holland,,Peter Parker/Spider-Man,Lead Ensemble Members
8,Chadwick Boseman,,T'Challa / Black Panther,Lead Ensemble Members
9,Paul Bettany,,Vision,Lead Ensemble Members
10,Elizabeth Olsen,,Wanda Maximoff/Scarlet Witch,Lead Ensemble Members
11,Sebastian Stan,,Bucky Barnes/Winter Soldier,Lead Ensemble Members
12,Danai Gurira,,Okoye,Lead Ensemble Members
13,Letitia Wright,,Shuri,Lead Ensemble Members
14,Dave Bautista,,Drax the Destroyer,Lead Ensemble Members
15,Zoe Saldana,,Gamora,Lead Ensemble Members
16,Josh Brolin,,Thanos,Lead Ensemble Members
17,Chris Pratt,,Peter Quill/Star-Lord,Lead Ensemble Members
18,Benedict Wong,,Wong,Lead Ensemble Members
19,Pom Klementieff,,Mantis,Lead Ensemble Members
20,Karen Gillan,,Nebula,Lead Ensemble Members
21,Vin Diesel,,Groot,Lead Ensemble Members
22,Bradley Cooper,,Rocket Raccoon,Lead Ensemble Members
0,Anthony Mackie,,Sam Wilson/Falcon,Supporting Cast
1,Tom Hiddleston,,Loki,Supporting Cast
2,Idris Elba,,Heimdall,Supporting Cast
3,Peter Dinklage,,Eitri,Supporting Cast
4,Gwyneth Paltrow,,Pepper Potts,Supporting Cast
5,Benicio del Toro,,Taneleer Tivan/The Collector,Supporting Cast
6,Jeremy Renner,,Clint Barton/Hawkeye,Supporting Cast
7,Paul Rudd,,Ant-Man,Supporting Cast
8,Isabella Amara,,Sally,Supporting Cast
9,Winston Duke,,M’Baku,Supporting Cast
10,William Hurt,,Thaddeus Ross,Supporting Cast
11,Kerry Condon,,F.R.I.D.A.Y.,Supporting Cast
12,Florence Kasumba,,Ayo,Supporting Cast
13,Jacob Batalon,,Ned,Supporting Cast
14,Tiffany Espensen,,Cindy,Supporting Cast
15,Ethan Dizon,,Tiny,Supporting Cast
16,Tom Vaughan-Lawlor,,Ebony Maw,Supporting Cast
17,Terry Notary,,Cull Obsidian / Teen Groot,Supporting Cast
18,Carrie Coon,,Proxima Midnight,Supporting Cast
19,Michael Shaw,,Corvus Glaive,Supporting Cast
20,Ross Marquand,,Red Skull,Supporting Cast
0,Samuel L. Jackson,,Nick Fury,Cameos
1,Cobie Smulders,,Maria Hill,Cameos
2,Stan Lee,,School Bus Driver,Cameos
3,Stephen McFeely,,Secretary Ross’s Aide,Cameos
0,Joe Russo,,Director,Production and Technical Credits
1,Anthony Russo,,Director,Production and Technical Credits
2,Christopher Markus,,Screenwriter,Production and Technical Credits
3,Stephen McFeely,,Screenwriter,Production and Technical Credits
4,Kevin Feige,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Michael Grillo,,Executive Producer,Production and Technical Credits
8,Trinh Tran,,Executive Producer,Production and Technical Credits
9,Jon Favreau,,Executive Producer,Production and Technical Credits
10,James Gunn,,Executive Producer,Production and Technical Credits
11,Stan Lee,,Executive Producer,Production and Technical Credits
12,Mitch Bell,,Co-Producer,Production and Technical Credits
13,Trent Opaloch,,Director of Photography,Production and Technical Credits
14,Charles Wood,,Production Designer,Production and Technical Credits
15,Jeffrey Ford,,Editor,Production and Technical Credits
16,Matthew Schmidt,,Editor,Production and Technical Credits
17,Judianna Makovsky,,Costume Designer,Production and Technical Credits
18,Dan DeLeeuw,,Visual Effects Supervisor,Production and Technical Credits
19,Alan Silvestri,,Composer,Production and Technical Credits
20,Dave Jordan,,Music Supervisor,Production and Technical Credits
21,Sarah Halley Finn,,Casting Director,Production and Technical Credits
22,Stan Lee,,Story based on “The Avengers” by,Production and Technical Credits
23,Jack Kirby,,Story based on “The Avengers” by,Production and Technical Credits
24,Chris Castaldi,,First Assistant Director,Production and Technical Credits
25,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
26,Juan Peralta,,Re-recording Mixer,Production and Technical Credits
27,Brian Stultz,,Art Director,Production and Technical Credits
28,Shannon Mills,,Sound Designer,Production and Technical Credits
29,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
30,Daniel Laurie,,Supervising Sound Editor,Production and Technical Credits
31,Josh Gold,,Sound Effects Editor,Production and Technical Credits
32,Steve Durkee,,Score Supervisor,Production and Technical Credits
33,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
34,Nashia Wachsman,,Music Editor,Production and Technical Credits
35,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
36,Kelly Port,,Visual Effects Supervisor,Production and Technical Credits
37,Russell Earl,,Visual Effects Supervisor,Production and Technical Credits
38,Dan Sudick,,Visual Effects Supervisor,Production and Technical Credits
39,Jacob Riehle,,Foley Editor,Production and Technical Credits
40,Brad Semenoff,,Dialogue Editor/ADR Editor,Production and Technical Credits
41,Bria Kinter,,Set Designer,Production and Technical Credits
42,Nia Hansen,,Sound Designer,Production and Technical Credits
43,Robin Buday,,First Assistant Editor,Production and Technical Credits
44,Samson Neslund,,Sound Effects Editor,Production and Technical Credits
